timestamp,node,container,cpu_pct,mem_used_mb,mem_limit_mb,net_rx,net_tx,block_io,phase
2026-08-04T20:57:04.501Z,D2,peer0.org2.example.com,14.39,277.10,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:04.501Z,D3,orderer3.example.com,4.64,147.80,15820.80,0B,0B,111kB/676MB,harnesscheck3
2026-08-04T20:57:04.501Z,D3,cc-unified,2.50,26.53,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:57:04.501Z,D3,peer0.org3.example.com,28.64,244.50,15820.80,0B,0B,80.8MB/283MB,harnesscheck3
2026-08-04T20:57:04.501Z,D1,HARNESS_bench.js,12.2,110.73,,,,threads=11,harnesscheck3
2026-08-04T20:57:09.244Z,D3,orderer3.example.com,3.78,151.10,15820.80,0B,0B,111kB/677MB,harnesscheck3
2026-08-04T20:57:09.244Z,D3,cc-unified,7.64,25.76,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:57:09.244Z,D3,peer0.org3.example.com,16.75,245.40,15820.80,0B,0B,81.2MB/284MB,harnesscheck3
2026-08-04T20:57:09.244Z,D4,cc-unified,0.82,26.23,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:09.244Z,D4,peer0.org4.example.com,7.28,311.30,15820.80,0B,0B,74.8MB/238MB,harnesscheck3
2026-08-04T20:57:09.244Z,D4,orderer.example.com,5.69,214.90,15820.80,0B,0B,460MB/178MB,harnesscheck3
2026-08-04T20:57:09.244Z,D2,orderer2.example.com,2.61,149.70,15912.96,0B,0B,4.7MB/677MB,harnesscheck3
2026-08-04T20:57:09.244Z,D2,cc-unified,0.64,24.88,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:57:09.244Z,D2,peer0.org2.example.com,21.96,277.00,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:09.244Z,D1,cc-unified,2.29,27.36,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:57:09.244Z,D1,peer0.org1.example.com,23.07,292.90,7816.19,0B,0B,42.7MB/238MB,harnesscheck3
2026-08-04T20:57:09.244Z,D1,HARNESS_bench.js,17.5,113.32,,,,threads=11,harnesscheck3
2026-08-04T20:57:13.928Z,D4,cc-unified,0.65,25.25,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:13.928Z,D4,peer0.org4.example.com,6.67,309.70,15820.80,0B,0B,74.8MB/239MB,harnesscheck3
2026-08-04T20:57:13.928Z,D4,orderer.example.com,3.65,213.70,15820.80,0B,0B,460MB/178MB,harnesscheck3
2026-08-04T20:57:13.928Z,D1,cc-unified,1.47,26.84,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:57:13.928Z,D1,peer0.org1.example.com,21.77,293.40,7816.19,0B,0B,42.7MB/239MB,harnesscheck3
2026-08-04T20:57:13.928Z,D3,orderer3.example.com,4.23,154.60,15820.80,0B,0B,111kB/678MB,harnesscheck3
2026-08-04T20:57:13.928Z,D3,cc-unified,1.99,26.02,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:57:13.928Z,D3,peer0.org3.example.com,25.52,244.60,15820.80,0B,0B,81.4MB/284MB,harnesscheck3
2026-08-04T20:57:13.928Z,D2,orderer2.example.com,2.90,152.90,15912.96,0B,0B,4.7MB/678MB,harnesscheck3
2026-08-04T20:57:13.928Z,D2,cc-unified,0.56,24.38,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:57:13.928Z,D2,peer0.org2.example.com,6.86,277.40,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:13.928Z,D1,HARNESS_bench.js,9.2,115.02,,,,threads=11,harnesscheck3
2026-08-04T20:57:18.599Z,D1,cc-unified,0.00,25.64,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:57:18.599Z,D1,peer0.org1.example.com,18.22,292.50,7816.19,0B,0B,42.7MB/240MB,harnesscheck3
2026-08-04T20:57:18.599Z,D2,orderer2.example.com,1.04,153.50,15912.96,0B,0B,4.7MB/678MB,harnesscheck3
2026-08-04T20:57:18.599Z,D2,cc-unified,0.00,24.13,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:57:18.599Z,D2,peer0.org2.example.com,20.60,278.80,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:18.599Z,D4,cc-unified,0.00,24.76,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:18.599Z,D4,peer0.org4.example.com,1.35,310.80,15820.80,0B,0B,74.8MB/239MB,harnesscheck3
2026-08-04T20:57:18.599Z,D4,orderer.example.com,0.72,213.40,15820.80,0B,0B,460MB/179MB,harnesscheck3
2026-08-04T20:57:18.599Z,D3,orderer3.example.com,1.72,156.00,15820.80,0B,0B,111kB/678MB,harnesscheck3
2026-08-04T20:57:18.599Z,D3,cc-unified,0.00,24.29,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:57:18.599Z,D3,peer0.org3.example.com,4.66,245.00,15820.80,0B,0B,81.4MB/285MB,harnesscheck3
2026-08-04T20:57:18.599Z,D1,HARNESS_bench.js,2.9,115.60,,,,threads=11,harnesscheck3
2026-08-04T20:57:23.399Z,D3,orderer3.example.com,2.32,156.00,15820.80,0B,0B,111kB/678MB,harnesscheck3
2026-08-04T20:57:23.399Z,D3,cc-unified,0.00,24.29,15820.80,0B,0B,2.63MB/0B,harnesscheck3
